n_features,features,f1_score
1,['feat_6'],0.6741573033707865
2,"['feat_6', 'feat_25']",0.6896551724137931
3,"['feat_6', 'feat_22', 'feat_25']",0.7126436781609196
4,"['feat_6', 'feat_13', 'feat_22', 'feat_25']",0.7272727272727273
5,"['feat_6', 'feat_10', 'feat_13', 'feat_22', 'feat_25']",0.7294117647058823
6,"['feat_4', 'feat_6', 'feat_10', 'feat_13', 'feat_22', 'feat_25']",0.7906976744186046
7,"['feat_4', 'feat_6', 'feat_10', 'feat_13', 'feat_17', 'feat_22', 'feat_25']",0.8
8,"['feat_4', 'feat_6', 'feat_10', 'feat_13', 'feat_17', 'feat_22', 'feat_25', 'feat_28']",0.7764705882352941
9,"['feat_4', 'feat_6', 'feat_10', 'feat_13', 'feat_17', 'feat_22', 'feat_25', 'feat_27', 'feat_28']",0.7710843373493976
10,"['feat_4', 'feat_6', 'feat_10', 'feat_13', 'feat_17', 'feat_22', 'feat_25', 'feat_26', 'feat_27', 'feat_28']",0.7901234567901234
11,"['feat_4', 'feat_6', 'feat_10', 'feat_13', 'feat_15', 'feat_17', 'feat_22', 'feat_25', 'feat_26', 'feat_27', 'feat_28']",0.75
12,"['feat_4', 'feat_6', 'feat_7', 'feat_10', 'feat_13', 'feat_15', 'feat_17', 'feat_22', 'feat_25', 'feat_26', 'feat_27', 'feat_28']",0.775
13,"['feat_4', 'feat_6', 'feat_7', 'feat_10', 'feat_13', 'feat_15', 'feat_17', 'feat_18', 'feat_22', 'feat_25', 'feat_26', 'feat_27', 'feat_28']",0.7654320987654321
14,"['feat_4', 'feat_6', 'feat_7', 'feat_10', 'feat_13', 'feat_15', 'feat_17', 'feat_18', 'feat_20', 'feat_22', 'feat_25', 'feat_26', 'feat_27', 'feat_28']",0.7654320987654321
15,"['feat_4', 'feat_6', 'feat_7', 'feat_10', 'feat_13', 'feat_14', 'feat_15', 'feat_17', 'feat_18', 'feat_20', 'feat_22', 'feat_25', 'feat_26', 'feat_27', 'feat_28']",0.775
16,"['feat_4', 'feat_5', 'feat_6', 'feat_7', 'feat_10', 'feat_13', 'feat_14', 'feat_15', 'feat_17', 'feat_18', 'feat_20', 'feat_22', 'feat_25', 'feat_26', 'feat_27', 'feat_28']",0.7901234567901234
17,"['feat_3', 'feat_4', 'feat_5', 'feat_6', 'feat_7', 'feat_10', 'feat_13', 'feat_14', 'feat_15', 'feat_17', 'feat_18', 'feat_20', 'feat_22', 'feat_25', 'feat_26', 'feat_27', 'feat_28']",0.7848101265822784
